"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tcf7l1",1.61928170106953e-45,0.934391275717189,0.881,0.699,1.65004805338985e-41,"0","Tcf7l1"
"Pard3b",1.73317654598437e-45,0.862188704539234,0.953,0.842,1.76610690035807e-41,"0","Pard3b"
"Tgfbr3",1.78383594698059e-45,1.17543185701317,0.778,0.441,1.81772882997322e-41,"0","Tgfbr3"
"Dkk2",3.98435662299278e-45,1.87167807405927,0.655,0.348,4.06005939882964e-41,"0","Dkk2"
"Bicc1",5.02975966236212e-45,1.15126829550475,0.838,0.614,5.125325095947e-41,"0","Bicc1"
"Igfbp5",1.09848723130695e-44,1.15397842092602,0.915,0.825,1.11935848870178e-40,"0","Igfbp5"
"Gulp1",3.92840625212659e-44,1.10717680234072,0.834,0.586,4.003045970917e-40,"0","Gulp1"
"Angpt1",4.25855346390196e-44,1.4909121421025,0.706,0.399,4.33946597971609e-40,"0","Angpt1"
"Mbnl2",5.05399264751315e-44,0.737612806471097,0.932,0.805,5.1500185078159e-40,"0","Mbnl2"
"Ghr",9.21652053913539e-44,1.18759711162537,0.851,0.68,9.39163442937896e-40,"0","Ghr"
"Sparc",1.5502846422615e-43,0.897770450343224,0.898,0.695,1.57974005046447e-39,"0","Sparc"
"Postn",1.57085982725314e-43,1.55214361352108,0.669,0.375,1.60070616397095e-39,"0","Postn"
"Smoc2",1.7343407571442e-43,1.84888803244153,0.52,0.215,1.76729323152994e-39,"0","Smoc2"
"Fbn1",1.12947223173102e-42,1.12911666410063,0.714,0.401,1.15093220413391e-38,"0","Fbn1"
"Lhx8",2.86248935186056e-42,2.26636096674828,0.386,0.12,2.91687664954592e-38,"0","Lhx8"
"Alcam",3.44329043890089e-42,1.13302534988598,0.966,0.879,3.50871295724e-38,"0","Alcam"
"Itga9",3.81864162472487e-42,1.2016910026656,0.67,0.344,3.89119581559464e-38,"0","Itga9"
"Arhgap6",4.39709393793272e-42,1.30124486214099,0.68,0.347,4.48063872275344e-38,"0","Arhgap6"
"Fbln2",8.23026751418815e-41,1.29361540558892,0.588,0.263,8.38664259695772e-37,"0","Fbln2"
"Ltbp1",1.11410166705513e-40,1.12688247411232,0.789,0.533,1.13526959872918e-36,"0","Ltbp1"
"Adamts12",1.23631179569939e-40,1.20220116073977,0.682,0.368,1.25980171981768e-36,"0","Adamts12"
"Mmp14",3.86960399648062e-40,1.06751044618204,0.727,0.437,3.94312647241375e-36,"0","Mmp14"
"Svep1",5.00736207636762e-40,1.4913467979052,0.469,0.173,5.10250195581861e-36,"0","Svep1"
"Lgals1",5.65522430771552e-40,1.33195628801568,0.529,0.218,5.76267356956211e-36,"0","Lgals1"
