"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Atp1a2",1.15975038204274e-62,1.15452545945095,0.875,0.718,9.27684330595984e-59,"0","Atp1a2"
"Apoe",4.38069734643995e-44,1.3184400248165,0.711,0.588,3.50411980741732e-40,"0","Apoe"
"Slc1a2",1.784549707995e-42,0.97775449630304,0.988,0.954,1.4274613114252e-38,"0","Slc1a2"
"Slc1a3",7.69312967399501e-39,1.34240914585921,0.603,0.508,6.15373442622861e-35,"0","Slc1a3"
"Cst3",1.38563678207233e-38,1.1851113964179,0.693,0.591,1.10837086197965e-34,"0","Cst3"
"Gpc5",4.64144166015822e-37,1.4168233186902,0.741,0.598,3.71268918396056e-33,"0","Gpc5"
"Ddn",3.79274765781615e-33,1.63483137713479,0.456,0.334,3.03381885148714e-29,"0","Ddn"
"Plpp3",1.85186534867741e-29,1.30602968826955,0.527,0.441,1.48130709240706e-25,"0","Plpp3"
"Prex2",8.14965998609093e-26,1.33175708784634,0.5,0.411,6.51891302287413e-22,"0","Prex2"
"Glul",2.25725526704695e-24,1.0263750505175,0.607,0.554,1.80557848811085e-20,"0","Glul"
"Ppp1r9b",4.46542281965614e-23,1.12357561796048,0.545,0.499,3.57189171344294e-19,"0","Ppp1r9b"
"Camk2a",4.88994727852497e-21,0.861630645220317,0.945,0.876,3.91146882809213e-17,"0","Camk2a"
"Clu",2.27844568410204e-18,1.03616799715229,0.566,0.53,1.82252870271322e-14,"0","Clu"
"Flt1",1.00808279958713e-14,1.18369176093464,0.412,0.344,8.06365431389741e-11,"0","Flt1"
"Shank1",8.09107685867061e-12,0.743402700365526,0.775,0.722,6.47205237925062e-08,"0","Shank1"
"Mertk",9.71607151872966e-12,1.18400930271597,0.257,0.184,7.77188560783186e-08,"0","Mertk"
"Npas3",2.89915811655824e-10,0.696698073053786,0.638,0.594,2.31903657743494e-06,"0","Npas3"
"Ptprz1",3.1049040192855e-10,0.827296257099449,0.53,0.52,2.48361272502647e-06,"0","Ptprz1"
"Chd3",3.45719387515335e-10,0.638957038724217,0.802,0.744,2.76540938073517e-06,"0","Chd3"
"Dock1",1.80120257287096e-09,0.874832975237933,0.324,0.265,1.44078193803948e-05,"0","Dock1"
"Maml2",2.43813695351131e-09,0.819528027561774,0.506,0.477,1.9502657491137e-05,"0","Maml2"
"Nfia",5.24139353802327e-08,0.696271887864671,0.637,0.603,0.000419259069106481,"0","Nfia"
"Sptbn2",3.48788104802613e-07,0.751693964257447,0.656,0.639,0.0027899560503161,"0","Sptbn2"
"Utrn",4.27904942236202e-07,0.945569019574396,0.432,0.429,0.00342281163294738,"0","Utrn"
"Pitpnc1",6.50396803247258e-07,0.678226935785435,0.627,0.608,0.00520252402917482,"0","Pitpnc1"
"Epas1",7.88922083367717e-07,0.981251938072697,0.264,0.219,0.00631058774485836,"0","Epas1"
"Lama2",2.03262482737334e-06,0.875945164711662,0.265,0.219,0.0162589659941594,"0","Lama2"
"Aldoc",5.63388075468378e-06,0.814796223065426,0.349,0.319,0.0450654121567156,"0","Aldoc"
"Myo10",8.9316474611723e-06,0.913924888992805,0.256,0.216,0.0714442480419172,"0","Myo10"
"Rpl13a",1.00539486764137e-05,0.674773149838308,0.559,0.586,0.080421535462633,"0","Rpl13a"
"Agap2",1.39777410360486e-05,0.908221567735418,0.378,0.364,0.111807950547353,"0","Agap2"
"Mt3",1.47960263611524e-05,0.722935326831298,0.416,0.409,0.118353414862858,"0","Mt3"
"Ndrg2",7.1702964619626e-05,0.686640626706678,0.399,0.394,0.573552013992388,"0","Ndrg2"
"Itpr2",7.92211987457287e-05,0.721845130431032,0.273,0.237,0.633690368767084,"0","Itpr2"
"Sfxn5",0.000213020376306792,0.761364574848626,0.366,0.366,1,"0","Sfxn5"
"Cald1",0.000335821698404564,0.966351470690741,0.255,0.224,1,"0","Cald1"
"Farp1",0.000386976765104019,0.752016094975841,0.514,0.55,1,"0","Farp1"
"Asrgl1",0.000431029896370298,0.668248518026553,0.324,0.299,1,"0","Asrgl1"
"Nhsl1",0.00046492720683353,0.770802383140382,0.266,0.241,1,"0","Nhsl1"
"Adcy1",0.000469664916210074,0.545970241500874,0.708,0.679,1,"0","Adcy1"
"Stard13",0.00107081629191935,0.835039831077018,0.256,0.233,1,"0","Stard13"
"Rgs20",0.00113574076469005,0.781440478896693,0.32,0.308,1,"0","Rgs20"
"Clmn",0.00118756035636758,0.591151559558135,0.449,0.463,1,"0","Clmn"
"Psd",0.00151973070665828,0.723518467221243,0.285,0.264,1,"0","Psd"
"Fam107a",0.0027025596524932,0.656144522664904,0.315,0.307,1,"0","Fam107a"
"Slc4a4",0.0031850797993822,0.558274427319126,0.588,0.598,1,"0","Slc4a4"
"Sox6",0.0032770708165184,0.581562979127609,0.349,0.34,1,"0","Sox6"
"Sparc",0.00368888132246413,0.619840287902484,0.386,0.389,1,"0","Sparc"
"Paqr8",0.00422982289364953,0.577588366316836,0.342,0.334,1,"0","Paqr8"
"Mgll",0.00624642071008051,0.703333368037339,0.432,0.463,1,"0","Mgll"
"Git1",0.00748854284578333,0.74394471119219,0.251,0.238,1,"0","Git1"
"Ebf1",0.00997121692454417,0.686212919784365,0.279,0.265,1,"0","Ebf1"
"Dpp10",2.33233399844219e-224,2.04678521564174,0.945,0.878,1.86563396535391e-220,"1","Dpp10"
"Hs3st2",2.55305763270942e-131,2.23084966337413,0.462,0.119,2.04219080040426e-127,"1","Hs3st2"
"Grik3",7.71663527668048e-120,1.67531799561201,0.629,0.247,6.17253655781671e-116,"1","Grik3"
"Phactr1",2.96145254464475e-118,0.929030533800184,0.963,0.891,2.36886589046134e-114,"1","Phactr1"
"Syt1",1.60145441435907e-113,0.757393065956552,0.989,0.957,1.28100338604582e-109,"1","Syt1"
"Dlg2",1.54292789307876e-102,0.843065488611886,0.971,0.946,1.2341880216737e-98,"1","Dlg2"
"Hcn1",8.47041566845664e-97,1.37042230615715,0.746,0.431,6.77548549319847e-93,"1","Hcn1"
"Ptprd",8.5528217165564e-95,0.829235727406837,0.968,0.96,6.84140209107346e-91,"1","Ptprd"
"Prkcb",1.4194861143246e-91,0.803213301822916,0.943,0.88,1.13544694284825e-87,"1","Prkcb"
"Asic2",7.04843038589637e-89,0.812138957739851,0.933,0.859,5.6380394656785e-85,"1","Asic2"
"Cacnb4",1.11872712132111e-87,0.983909359926721,0.863,0.745,8.94869824344755e-84,"1","Cacnb4"
"Dlgap2",1.9839306339516e-84,0.845997243636187,0.915,0.773,1.58694611409789e-80,"1","Dlgap2"
"Nrxn3",2.07740747584418e-84,0.799423894553413,0.968,0.935,1.66171823992776e-80,"1","Nrxn3"
"Sgcz",4.03095460153422e-83,1.112793624321,0.863,0.752,3.22436058576722e-79,"1","Sgcz"
"Garnl3",4.81156683267355e-82,1.42241858420122,0.689,0.386,3.84877230945557e-78,"1","Garnl3"
"Csmd1",4.74802320471176e-79,0.727739725691364,0.97,0.945,3.79794376144894e-75,"1","Csmd1"
"Vxn",1.56975133712541e-77,1.26870687774629,0.59,0.275,1.25564409456661e-73,"1","Vxn"
