"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","nCount_SCT","nFeature_SCT","SCT_snn_res.0.9","seurat_clusters","RNA_snn_res.1","celltype","Size_Factor","Pseudotime","State"
"37x24_9","51_3",40956.5357060275,7722,0.460969215721298,28939,7160,"21","Spall 1","5","Spall 1",1.27338567803606,12.195919041642,"11"
"37x25_9","51_3",62863.3140169308,8418,0.335704517301846,28596,7018,"21","Spall 1","5","Spall 1",1.96060569466071,11.8925609487411,"11"
"37x8_9","51_3",29372.2162124149,6629,0.394585638739084,27622,6562,"20","Dpall 2","15","Dpall 2",0.911725749045066,15.3827527972306,"12"
"36x9_9","51_3",51222.9065289702,7943,0.366593079567569,28548,7398,"20","Dpall 1","13","Dpall 1",1.59185810048175,15.0861895660665,"12"
"36x12_9","51_3",42200.3173181418,7409,0.455111555901192,28906,6957,"20","Dpall 1","13","Dpall 1",1.31156456784854,15.0785647374038,"12"
"36x25_9","51_3",37334.4294219321,7348,0.424705374063209,28631,6856,"21","Spall 1","5","Spall 1",1.16162107320547,11.9302362674642,"11"
"36x8_9","51_3",35515.1450434993,7073,0.412777566335258,28468,6886,"20","Dpall 2","15","Dpall 2",1.10325021279084,15.2911412822286,"12"
"36x26_9","51_3",46360.6880204964,7826,0.399780757301335,28530,7130,"21","Spall 1","21","Spall 1",1.44326913740793,10.316785441418,"11"
"33x9_9","51_3",49655.3359435675,7994,0.326473018141032,28592,7465,"20","Dpall 1","13","Dpall 1",1.54318946619109,15.0366177704304,"12"
"33x12_9","51_3",58175.7154808201,8160,0.343087750861614,28617,7053,"20","Dpall 1","13","Dpall 1",1.81245774186525,15.1946600860139,"12"
"33x28_9","51_3",19066.7900808037,6201,0.308389351543354,27479,6191,"21","Spall 1","5","Spall 1",0.591898795030121,18.9452972367551,"5"
"33x17_9","51_3",82573.4764542782,9154,0.359999518014765,27968,6516,"12","Spall 2","17","Spall 2",2.58006763208845,13.1775515971437,"11"
"33x10_9","51_3",45803.5032428298,7805,0.519757680041697,28502,7268,"20","Dpall 1","13","Dpall 1",1.42411669103335,11.3077020535642,"7"
"33x11_9","51_3",66524.8955378097,8442,0.262827198723281,28517,6842,"20","Dpall 1","13","Dpall 1",2.07435484574393,15.0203593039468,"12"
"33x16_9","51_3",69415.2877995025,8560,0.401492417958153,28451,6779,"12","Spall 3","18","Spall 3",2.16558097189652,13.1827217336864,"11"
"33x8_9","51_3",45542.173004222,7755,0.336621332459896,28563,7277,"20","Dpall 1","13","Dpall 1",1.41523348399778,15.2786640390653,"12"
"26x13_9","51_3",68951.3947258115,8588,0.367435456103471,28434,6804,"12","Spall 3","18","Spall 3",2.15184665179897,12.7729621509782,"11"
"26x17_9","51_3",45476.7898306371,7844,0.475283534506906,28668,7219,"12","Spall 3","18","Spall 3",1.41535948693445,13.1460208665344,"11"
"26x14_9","51_3",59939.1258469352,8369,0.35416759549698,28757,7192,"12","Spall 3","18","Spall 3",1.86900155969809,13.1836704284509,"11"
"26x31_9","51_3",62366.7650709667,8704,0.377716395912179,28775,7392,"24","Spall 1","5","Spall 1",1.94413081069047,19.3945991020467,"5"
"26x18_9","51_3",29339.0175267049,6930,0.273942012325989,27640,6628,"7","Spall 3","18","Spall 3",0.912292762260102,12.6627936899907,"11"
"26x15_9","51_3",63454.2762365455,8618,0.373712581316875,28752,7207,"12","Spall 3","18","Spall 3",1.97875011754189,13.1471896563937,"11"
"26x16_9","51_3",61305.4708893665,8493,0.452017620633752,28771,7254,"12","Spall 3","18","Spall 3",1.91266157725593,13.2629218030949,"11"
"44x13_9","51_3",64388.1390624541,8156,0.287590324442024,28333,6667,"20","Dpall 1","13","Dpall 1",2.00917982674886,15.1462307572875,"12"
"44x12_9","51_3",25797.363917985,6104,0.374829297967025,27180,6088,"20","Dpall 2","15","Dpall 2",0.800780163302858,15.2489869965179,"12"
